name,description,annual_incidence,disability_weight,mean_age,muI,mu0,mu1,mu2,mu3,deltaU,deltaI,delta0,delta1,delta2,delta3,rho0,rho1,rho2,best_level_of_care
Congestive Heart Failure,A chronic cardiac condition affecting primarily older adults with significant mortality risk if untreated or managed informally. Requires substantial hospital-level care.,0.012,0.42,67,0.01,0.03,0.35,0.55,0.75,0.09,0.06,0.05,0.03,0.02,0.01,0.7,0.55,0.35,Tertiary (L3)
Tuberculosis,A serious infectious disease with very slow resolution requiring 25+ weeks of treatment. Has low but persistent mortality and high disability impact.,0.002,0.333,35,0.02,0.03,0.04,0.05,0.06,0.003,0.0025,0.002,0.001,0.0008,0.0005,0.85,0.4,0.25,Primary (L1)
Pneumonia,A respiratory infection with very high incidence in children under five. Good resolution rates with appropriate antibiotics but significant mortality if untreated.,0.9,0.28,3,0.1,0.7,0.8,0.7,0.8,0.05,0.035,0.01,0.005,0.02,0.015,0.6,0.3,0.2,Primary (L1)
Malaria,A parasitic disease with moderate-high incidence in endemic areas. Good response to appropriate treatment at CHW/primary levels.,0.4,0.192,9,0.15,0.8,0.85,0.6,0.7,0.03,0.02,0.002,0.001,0.03,0.02,0.5,0.4,0.2,Primary (L1)
Fever of Unknown Origin,A symptomatic presentation with diverse underlying causes affecting all ages. Features moderate spontaneous resolution and good response to healthcare interventions.,0.6,0.1,15,0.3,0.55,0.7,0.8,0.9,0.015,0.008,0.005,0.003,0.002,0.001,0.3,0.2,0.1,Primary (L1)
Diarrheal Disease,An acute gastrointestinal condition with very high incidence especially in children. Excellent response to ORS/Zinc and can be effectively managed at community level.,1.5,0.15,2,0.35,0.85,0.9,0.8,0.85,0.025,0.015,0.002,0.001,0.01,0.005,0.5,0.3,0.1,CHW (L0)
Infant Pneumonia,A more severe form of pneumonia in infants under 1 year. Features lower spontaneous resolution and requires more intensive management.,1.2,0.35,0.5,0.1,0.5,0.7,0.75,0.85,0.06,0.04,0.015,0.008,0.025,0.02,0.65,0.45,0.3,District (L2)
Anemia,A nutritional condition affecting primarily women and children. Very low mortality but causes persistent disability until resolved.,0.2,0.06,15,0.05,0.15,0.2,0.25,0.3,0.001,0.0005,0.0003,0.0002,0.001,0.0008,0.4,0.3,0.15,Primary (L1)
HIV Management (Chronic),"Focuses on stable HIV patients on antiretroviral therapy. Very low ""resolution"" rates without formal care but good stabilization with appropriate ART.",0.001,0.078,30,0.01,0.05,0.1,0.12,0.15,0.007,0.005,0.002,0.0005,0.0006,0.0004,0.9,0.15,0.1,Primary (L1)
High-Risk Pregnancy (Low ANC),Pregnancy complications without adequate prenatal monitoring. Very poor outcomes without formal care but good resolution with hospital management.,0.02,0.3,28,0.01,0.02,0.1,0.5,0.6,0.02,0.015,0.01,0.005,0.002,0.001,0.9,0.7,0.4,District (L2)
Upper Respiratory Tract Infection,Common viral respiratory infection with excellent spontaneous resolution and minimal additional benefit from healthcare intervention.,2,0.01,10,0.7,0.75,0.8,0.85,0.9,0.00002,0.00001,0.00001,0.000005,0.000001,0.000001,0.05,0.02,0.01,Self-Care
