category,name,description,annual_incidence,disability_weight,mean_age,resolution_informal,resolution_chw,resolution_primary,resolution_district,resolution_tertiary,mortality_untreated,mortality_informal,referral_chw_primary,referral_primary_district,referral_district_tertiary,health_system,system_description,ai_interventions_impact
Disease,Congestive Heart Failure,A chronic cardiac condition affecting primarily older adults with significant mortality risk if untreated or managed informally. Requires substantial hospital-level care.,0.012,0.42,67,0.01,0.03,0.35,0.55,0.75,0.09,0.06,0.70,0.55,0.35,N/A,N/A,Hospital Decision Support AI improves hospital resolution rates by 10% and reduces mortality by 15%.
Disease,Tuberculosis,A serious infectious disease with very slow resolution requiring 25+ weeks of treatment. Has low but persistent mortality and high disability impact.,0.002,0.333,35,0.02,0.03,0.04,0.05,0.06,0.003,0.0025,0.85,0.40,0.25,N/A,N/A,CHW Decision Support AI is especially effective for improving treatment adherence at community level.
Disease,Pneumonia,A respiratory infection with very high incidence in children under five. Good resolution rates with appropriate antibiotics but significant mortality if untreated.,0.90,0.28,3,0.10,0.70,0.80,0.70,0.80,0.05,0.035,0.60,0.30,0.20,N/A,N/A,Diagnostic AI significantly improves resolution rates at primary care level.
Disease,Malaria,A parasitic disease with moderate-high incidence in endemic areas. Good response to appropriate treatment at CHW/primary levels.,0.40,0.192,9,0.15,0.80,0.85,0.60,0.70,0.03,0.02,0.50,0.40,0.20,N/A,N/A,CHW Decision Support AI enables more effective community-level treatment.
Disease,Fever of Unknown Origin,A symptomatic presentation with diverse underlying causes affecting all ages. Features moderate spontaneous resolution and good response to healthcare interventions.,0.60,0.10,15,0.30,0.55,0.70,0.80,0.90,0.015,0.008,0.30,0.20,0.10,N/A,N/A,Diagnostic AI helps identify underlying causes faster at primary care level.
Disease,Diarrheal Disease,An acute gastrointestinal condition with very high incidence especially in children. Excellent response to ORS/Zinc and can be effectively managed at community level.,1.50,0.15,2,0.35,0.85,0.90,0.80,0.85,0.025,0.015,0.50,0.30,0.10,N/A,N/A,Self-Care Apps improve home management outcomes and reduce need for formal care.
Disease,Infant Pneumonia,A more severe form of pneumonia in infants under 1 year. Features lower spontaneous resolution and requires more intensive management.,1.20,0.35,0.5,0.10,0.50,0.70,0.75,0.85,0.06,0.04,0.65,0.45,0.30,N/A,N/A,Hospital Decision Support AI significantly improves infant mortality rates.
Disease,HIV Management (Chronic),Focuses on stable HIV patients on antiretroviral therapy. Very low "resolution" rates without formal care but good stabilization with appropriate ART.,0.001,0.078,30,0.01,0.05,0.10,0.12,0.15,0.007,0.005,0.90,0.15,0.10,N/A,N/A,Self-Care Apps significantly improve treatment adherence and outcomes.
Disease,Upper Respiratory Tract Infection,Common viral respiratory infection with excellent spontaneous resolution and minimal additional benefit from healthcare intervention.,2.0,0.01,10,0.70,0.75,0.80,0.85,0.90,0.00002,0.00001,0.05,0.02,0.01,N/A,N/A,Self-Care Apps effectively manage symptoms and reduce unnecessary facility visits.
HealthSystem,Moderate Urban System,A middle-tier healthcare system in urban settings with reasonable infrastructure. Represents typical urban healthcare in middle-income countries.,N/A,N/A,N/A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N/A,"Features 65% initial formal care seeking and 25% transition from informal to formal care. Has standard mortality rates across all levels of care, with balanced referral patterns. Per diem costs range from $7 (informal) to $350 (tertiary).",AI interventions have standard effectiveness in this balanced system.
